RELEASE T 0
PRESS C 123
PRESS I 223
RELEASE C 252
PRESS CAPS_LOCK 295
RELEASE I 307
PRESS E 350
RELEASE CAPS_LOCK 388
RELEASE E 397
PRESS S 480
RELEASE S 559
PRESS RIGHT_BRACKET 687
RELEASE RIGHT_BRACKET 770
MOVE 1 2 3807
MOVE 1 2 3808
MOVE 2 1 3809
MOVE 2 2 3810
MOVE 1 2 3811
MOVE 2 2 3812
MOVE 1 3 3813
MOVE 2 2 3814
MOVE 2 2 3815
MOVE 2 3 3816
MOVE 2 2 3817
MOVE 2 3 3818
MOVE 2 2 3819
MOVE 2 3 3820
MOVE 2 3 3821
MOVE 3 3 3822
MOVE 2 3 3823
MOVE 2 3 3824
MOVE 3 4 3825
MOVE 2 3 3826
MOVE 3 4 3827
MOVE 2 3 3828
MOVE 3 4 3829
MOVE 3 4 3830
MOVE 3 3 3831
MOVE 2 4 3832
MOVE 3 5 3833
MOVE 3 4 3834
MOVE 3 4 3835
MOVE 3 5 3836
MOVE 3 4 3837
MOVE 4 5 3838
MOVE 3 4 3839
MOVE 3 5 3840
MOVE 3 5 3841
MOVE 4 5 3842
MOVE 3 5 3843
MOVE 4 5 3844
MOVE 3 5 3845
MOVE 4 5 3846
MOVE 4 5 3847
MOVE 3 5 3848
MOVE 4 6 3849
MOVE 4 5 3850
MOVE 4 6 3851
MOVE 4 5 3852
MOVE 3 5 3853
MOVE 4 6 3854
MOVE 4 5 3855
MOVE 4 6 3856
MOVE 4 5 3857
MOVE 5 6 3858
MOVE 4 6 3859
MOVE 4 6 3860
MOVE 5 5 3861
MOVE 4 6 3862
MOVE 4 6 3863
MOVE 5 6 3864
MOVE 4 6 3865
MOVE 5 6 3866
MOVE 4 6 3867
MOVE 5 5 3868
MOVE 5 6 3869
MOVE 4 6 3870
MOVE 5 6 3871
MOVE 4 6 3872
MOVE 5 7 3873
MOVE 5 6 3874
MOVE 4 6 3875
MOVE 5 6 3876
MOVE 5 7 3877
MOVE 4 6 3878
MOVE 5 6 3879
MOVE 4 6 3880
MOVE 5 7 3881
MOVE 4 6 3882
MOVE 5 6 3883
MOVE 4 6 3884
MOVE 5 7 3885
