PRESS R 0
RELEASE R 78
MOVE 1 0 11584
MOVE 2 0 11585
MOVE 1 0 11586
MOVE 2 -1 11587
MOVE 2 0 11588
MOVE 2 0 11589
MOVE 2 -1 11590
MOVE 2 0 11591
MOVE 3 -1 11592
MOVE 3 0 11593
MOVE 3 -1 11595
MOVE 3 0 11595
MOVE 3 -1 11596
MOVE 3 -1 11597
MOVE 4 -1 11598
MOVE 4 -1 11599
MOVE 4 0 11600
MOVE 5 -1 11601
MOVE 5 -1 11602
MOVE 4 -1 11603
MOVE 5 0 11604
MOVE 5 -1 11605
MOVE 6 -1 11606
MOVE 5 -1 11607
MOVE 6 -1 11608
MOVE 5 0 11609
MOVE 6 -1 11610
MOVE 6 -1 11613
MOVE 6 0 11613
MOVE 6 -1 11613
MOVE 6 0 11614
MOVE 6 0 11615
MOVE 6 -1 11616
MOVE 6 0 11617
MOVE 6 0 11618
MOVE 6 0 11619
MOVE 6 0 11620
MOVE 6 0 11621
MOVE 7 0 11622
MOVE 6 0 11623
MOVE 6 0 11624
MOVE 7 0 11625
MOVE 7 0 11626
MOVE 6 1 11627
MOVE 7 1 11628
MOVE 7 0 11629
MOVE 7 1 11630
MOVE 7 1 11631
MOVE 8 2 11632
MOVE 7 1 11633
MOVE 7 1 11634
MOVE 8 1 11635
MOVE 8 2 11636
MOVE 7 1 11637
MOVE 8 2 11638
MOVE 8 2 11639
MOVE 8 1 11640
MOVE 8 2 11641
MOVE 8 2 11642
MOVE 7 2 11643
MOVE 9 1 11644
MOVE 7 2 11647
MOVE 8 2 11647
MOVE 8 2 11647
MOVE 8 1 11648
MOVE 8 2 11649
MOVE 8 2 11650
MOVE 9 2 11651
MOVE 8 2 11652
MOVE 8 2 11653
MOVE 9 2 11654
MOVE 8 1 11655
MOVE 8 2 11656
MOVE 8 2 11657
MOVE 8 2 11658
MOVE 9 2 11659
MOVE 8 1 11660
MOVE 8 2 11661
MOVE 8 1 11663
MOVE 9 2 11663
MOVE 8 2 11664
MOVE 8 1 11665
MOVE 9 2 11666
MOVE 8 1 11667
MOVE 8 2 11668
MOVE 9 1 11669
MOVE 8 2 11670
MOVE 8 1 11671
MOVE 9 1 11672
MOVE 8 2 11673
MOVE 8 1 11674
MOVE 9 1 11675
MOVE 8 1 11676
MOVE 9 1 11677
MOVE 8 1 11680
MOVE 9 1 11680
MOVE 8 1 11680
MOVE 9 1 11681
